word	reading	pos	meaning
行う	おこな.う	v5u,vt	to perform;to do;to conduct oneself;to carry out
行く	い.く・*ゆ.く	v5k-s,vi・v5k-s,aux-v・v5k-s,vi	to go;to move (in a direction or towards a specific location);to be transported (towards);to reach・to continue・to have an orgasm
来年	ライ.ネン	n-adv,n-t	next year
年	とし	n	year
毎年	マイ.とし	n-t	every year;yearly;annually
少年	ショウ.ネン	n	boy;juvenile;young boy;youth;lad
年月	とし.つき	n	months and years
同じ	おな.じ	a-f,n・adv	same;identical;equal;uniform;equivalent;similar;common (origin);changeless;alike・(usu. part of a 'nara' conditional) anyway;anyhow;in either case
同一	ドウ.イツ	a-no,a-na	identical;same;one and the same;equal
同時	ドウ.ジ	n,a-no	simultaneous;concurrent;same time;synchronous;together
同町	ドウ.チョウ	n	the same town;that town
高い	たか.い	a-i	high;tall
高校	コウ.コウ	n	senior high school;high school
円高	エン.だか	n,vs	appreciation of the yen;strong yen
向こう	む.こう	n	opposite side;other side;opposite direction
向かう	む.かう	v5u,vi	to face
方向	ホウ.コウ	n	direction;orientation;bearing;way
何	なに	pn,a-no・n	what・you-know-what;that
何で	なん.で	adv	why?;what for?・how?;by what means?
荷物	に.モツ	n	luggage;baggage;package
荷	に	n	load;baggage;cargo;freight;goods
出荷	シュッ.カ	n,vs	shipping;shipment;forwarding
河川	カ.セン	n	rivers
氷河	ヒョウ.ガ	n	glacier
欠ける	か.ける	v1,vi	to be chipped;to be damaged;to be broken
次	つぎ	n,nv,a-no	next;following;subsequent
姿	すがた	n・n-suf	figure;form;shape・dressed in ...;wearing ...
歌	うた	n	song
歌う	うた.う	v5u,vt,vi・v5u,vt	to sing・to sing (one's praises in a poem, etc.);to compose a poem;to recite a poem
歌手	カ.シュ	n	singer
糸	いと	n,n-suf	thread;yarn;string
毛糸	け.いと	n,a-no	knitting wool;woollen yarn
体系	タイ.ケイ	n	system;organization;architecture
係	かかり	n,nv	charge;duty;person in charge;official;clerk
会う	あ.う	v5u,vi	to meet;to encounter;to see
絵	エ	n,n-suf	picture;drawing;painting;sketch
付き合い	つ.き.あ.い	n,nv	association;socializing;fellowship
竹	たけ	n	bamboo (Bambusoideae family)
答える	こた.える	v1,vi	to answer;to reply
回答	カイ.トウ	n,vs	reply;answer
等	など	prt	et cetera;etc.;and the like;and so forth
高等学校	コウ.トウ.ガッ.コウ	n	senior high school;high school
平等	ビョウ.ドウ	a-na,a-no,n	equality;impartiality;evenness
高等	コウ.トウ	a-na,n,a-no	high class;high grade
谷	たに	n	valley
谷川	たに.がわ	n	mountain stream
内容	ナイ.ヨウ	n	contents;content;substance;matter;detail;import
品物	しな.もの	n	goods;article;thing
容器	ヨウ.キ	n	container;receptacle;vessel
器	うつわ	n	bowl;vessel;container・ability;capacity;caliber
以下	イ.カ	n	not exceeding;and downward;... and below
以内	イ.ナイ	n,n-suf	within;inside of;less than
以上	イ.ジョウ	n-adv,n-t	not less than;... and more;... and upwards
以外	イ.ガイ	n-adv	with the exception of;excepting
以来	イ.ライ	n-adv,n-t	since;henceforth
以て	もっ.て	exp・exp,conj	with;by;by means of・in addition (to being);moreover;as well as;and
似る	に.る	v1,vi	to resemble;to look like;to take after
似合う	に.あ.う	v5u,vi	to suit;to match;to become;to be like
魚	さかな・*うお	n	fish
金魚	キン.ギョ	n	goldfish
角	かど	n	corner (e.g. desk, pavement)
角	つの	n	horn
三角	サン.カク	n	triangle;triangular
見解	ケン.カイ	n	opinion;point of view
解放	カイ.ホウ	n,vs	release;unleashing;liberation;emancipation;setting free
解く	と.く・ほど.く	v5k,vt	to untie;to unfasten;to unwrap;to undo;to unbind;to unpack
了解	リョウ.カイ	n,vs・exp	comprehension;consent;understanding;agreement・OK;roger (on two-way radio)
込む	こ.む	v5m,vi・v5m,aux-v	to be crowded;to be packed・to go into;to put into;to remain (seated);to be plunged into (silence);to do thoroughly
見込み	み.こ.み	n,nv	hope;promise;possibility;chance;probability;likelihood
衣	ころも	n	clothes;garment
長い	なが.い	a-i	long (distance)
校長	コウ.チョウ	n	principal;headmaster
特長	トク.チョウ	n	forte;merit
根	ね	n	root (of a plant)
大根	ダイ.コン	n	daikon (variety of large white Oriental radish)
限る	かぎ.る	v5r,vt・v5r,vi	to restrict;to limit;to confine・to be restricted to;to be limited to;to be confined to
銀行	ギン.コウ	n,a-no	bank
銀	ギン	n,a-no・n・n,a-no・n	silver (Ag)・silver coin;money・silver color;silver color・bank
銀河	ギン.ガ	n	Milky Way
良い	よ.い	a-i	good;excellent;fine;nice;pleasant;agreeable
仲良し	なか.よ.し	n,a-na	intimate friend;close friend;bosom buddy;chum
食べ物	た.べ.もの	n	food
食べる	た.べる	v1,vt	to eat
食品	ショク.ヒン	n	food;food products;foodstuffs
飲み物	の.み.もの	n,nv	drink;beverage
飲む	の.む	v5m,vt	to drink;to gulp;to swallow;to take (medicine)
飲食	イン.ショク	n,vs	food and drink;eating and drinking
図	ズ	n,n-suf	drawing;picture;diagram;figure;illustration;chart;graph
図る	はか.る	v5r,vt	to plan;to attempt;to devise
食料品	ショク.リョウ.ヒン	n	foodstuff;groceries
料金	リョウ.キン	n	fee;charge;fare
食料	ショク.リョウ	n	food
給う	たま.う	v5u,aux-v・v5u,vt,hon	to do・to give
給料	キュウ.リョウ	n	salary;wages;pay
衣料	イ.リョウ	n	clothing
科学	カ.ガク	n	science
科目	カ.モク	n	(school) subject;curriculum;course
内科	ナイ.カ	n,a-no	internal medicine, i.e. treatment by medical procedures rather than surgical procedures
秋	あき	n-t	autumn;fall
秋分	シュウ.ブン	n	autumn equinox
委ねる	ゆだ.ねる	v1,vt	to entrust (a matter) to;to leave to
案内	アン.ナイ	n・vs	information;guidance;leading・to guide;to show (around);to conduct
答案	トウ.アン	n	examination paper;examination script;answer sheet
香り	かお.り	n	aroma;fragrance;scent;smell
香水	コウ.スイ	n	perfume
四季	シ.キ	n	four seasons
移る	うつ.る	v5r,vi	to move (house);to transfer (department)
移す	うつ.す	v5s,vt	to change;to swap;to substitute;to transfer
不安	フ.アン	a-na,n	anxiety;uneasiness;insecurity;suspense
不可	フ.カ	a-no,a-na,n・n	wrong;bad;improper;unjustifiable;inadvisable・failing grade
不良	フ.リョウ	n,a-no,a-na	bad;poor;inferior・delinquent;hoodlum;hooligan
束	たば	n,n-suf,ctr	bundle;bunch;sheaf
高速	コウ.ソク	a-na,a-no,n・n	high-speed;rapid;express・highway;freeway;expressway;motorway
速やか	すみ.やか	a-na	quick;speedy;prompt;rapid;swift
東	ひがし	n	east
練る	ね.る	v5r,vt・v5r,vi	to knead;to thicken into a paste (stirring over a flame)・to walk in procession;to parade;to march
地図	チ.ズ	n	map
土地	ト.チ	n	plot of land;lot;soil
地位	チ.イ	n	(social) position;status
地元	ジ.もと	n・a-no	home area;home town・local
他	ほか	n,a-no・n-adv	other (place, thing, person);the rest・nothing except;nothing but;nothing apart from;nothing aside from;no choice (but to)
他人	タ.ニン	n	another person;other people;others
池	いけ	n	pond
応じる	オウ.じる	v1,vi,vj	to respond;to satisfy;to accept;to comply with;to apply for
一応	イチ.オウ	adv,a-no・adv	more or less;though not quite satisfactorily;after a fashion;pretty much;roughly;so far as it goes・tentatively;for the time being
応対	オウ.タイ	n,vs	dealing with (people, customers, complaints, etc.);receiving (callers, visitors, etc.);attending to;handling;serving
応える	こた.える	v1,vi	to respond;to answer;to meet (e.g. demands, expectations)
府立	フ.リツ	a-no,n	managed by an urban prefecture;prefectural
広い	ひろ.い	a-i	spacious;vast;wide
拡大	カク.ダイ	n,vs	magnification;enlargement;expansion;amplification
自己	ジ.コ	n,a-no	self;oneself
己	おのれ	pn・adv・exp	oneself (itself, etc.)・by oneself (itself, etc.)・interjection expressing anger or chagrin
日記	ニッ.キ	n	diary;journal
記す	しる.す	v5s	to write down;to note;to jot down
紀元	キ.ゲン	n	era
改める	あらた.める	v1,vt	to change;to alter;to revise;to replace
改良	カイ.リョウ	n,vs	improvement;reform
色	いろ	n	color;hue;tint;shade
特色	トク.ショク	n	characteristic;feature;idiosyncrasy;personal color
絶対	ゼッ.タイ	adv・a-no・n	absolutely;unconditionally・absolute;unconditional;unmistakable・absoluteness
絶えず	た.えず	adv	constantly;always;continually;steadily
止まる	と.まる・*とど.まる	v5r,vi	to stop (moving);to come to a stop
中止	チュウ.シ	n,vs	suspension;stoppage;discontinuance;interruption
防止	ボウ.シ	n,vs	prevention;check
企てる	くわだ.てる	v1,vt	to plan;to plot;to propose;to design;to intend;to contemplate
企む	たくら.む	v5m,vt	to scheme;to plan;to play a trick;to invent;to conspire;to frame up
歩く	ある.く	v5k,vi	to walk
干渉	カン.ショウ	n,vs	interference;intervention;meddling
渉外	ショウ.ガイ	n	public relations;client liaison
足	あし	n	foot
不足	フ.ソク	a-na,n,vs	insufficiency;shortage;deficiency;lack;dearth
走る	はし.る	v5r,vi	to run
走行	ソウ.コウ	n,vs	running a wheeled vehicle (e.g. car);running to program, job, etc.;traveling
起きる	お.きる	v1,vi	to get up;to rise・to blaze up (fire)
起こる	お.こる	v5r,vi	to occur;to happen
正しい	ただ.しい	a-i	right;correct
正午	ショウ.ゴ	n-adv,n-t	noon;midday
改正	カイ.セイ	n,vs,a-no	revision;amendment;alteration
安定	アン.テイ	n,vs,a-na,a-no	stability;steadiness;equilibrium
否定	ヒ.テイ	n,vs,a-no・n	denial;negation;repudiation;disavowal・negation (logic)
特定	トク.テイ	a-no・n,vs	specific;particular;designated;special・specifying;designating;identifying;pinpointing
定める	さだ.める	v1,vt	to decide;to determine
政府	セイ.フ	n	government;administration
政	まつりごと	n	rule;government
午後	ゴ.ゴ	n-adv,n-t	afternoon;p.m.
後ろ	うし.ろ	n,a-no	back;behind;rear
後	あと・*のち	n,a-no・n-adv・n,a-no	behind;rear・more (e.g. five more minutes);left・past;previous
後悔	コウ.カイ	n,vs,a-no	regret;repentance;remorse
冬	ふゆ	n-adv,n-t	winter
冬季	トウ.キ	n	(season of) winter
終わり	お.わり	n,nv	the end
終える	お.える	v1,vt,aux-v・v1,vt	to finish・to graduate
終了	シュウ.リョウ	n,vs	end;close;termination
各自	カク.ジ	n,n-adv	each (person);everyone;individual;respective
客	キャク	n	guest;visitor
条件	ジョウ.ケン	n	condition;term;requirement;qualification;prerequisite
用意	ヨウ.イ	n,vs	preparation;arrangements;provision;getting ready;laying out (e.g. a meal)
信用	シン.ヨウ	n,vs・n	confidence;trust;faith;reputation・credit (finance)
用いる	もち.いる	v1,vt	to use;to make use of;to utilize
勇気	ユウ.キ	n	courage;bravery;valor;nerve;boldness
勇ましい	いさ.ましい	a-i	brave;valiant;gallant;courageous
交通	コウ.ツウ	n,vs	traffic;transportation;communication;exchange (of ideas, etc.);intercourse
通る	とお.る	v5r,vi・v5r	to go by;to pass through;to use (a road);to take (a route);to go via・to do ... completely;to do ... thoroughly
通う	かよ.う	v5u,vi	to go to and from (a place);to go back and forth between;to run between (e.g. bus, train, etc.);to ply between
通信	ツウ.シン	n,vs	correspondence;communication;transmission;news;signal;telecommunications
痛い	いた.い	a-i	painful;sore・exceeding
痛む	いた.む	v5m,vi	to hurt;to ache;to feel a pain
踊る	おど.る	v5r,vi	to dance
穴	あな	n,n-suf	hole
空気	クウ.キ	n	air;atmosphere
空	そら	n・n-pref	sky;the air;the heavens・somehow;vaguely
売る	う.る	v5r,vt	to sell
読む	よ.む	v5m,vt	to read
続ける	つづ.ける	v1,vt,aux-v	to continue;to keep up;to keep on
続く	つづ.く	v5k,vi	to continue;to last;to go on・to occur repeatedly・to lead to;to connect to;to adjoin
西	にし	n	west
東西	トウ.ザイ	n,a-no・exp	east and west・Ladies and Gentlemen!;Your attention, please!;roll-up, roll-up
必要	ヒツ.ヨウ	a-na・n	necessary;needed;essential;indispensable・necessity;need;requirement
要る	い.る	v5r,vi	to be needed;to be wanted
