177	血	ち		血[ち]	blood	consanguinity
178	出血	シュッケツ		出[シュッ]血[ケツ]	bleeding	hemorrhage
179	切手	きって		切[きっ]手[て]	stamp (postage)	merchandise certificate
180	手	て		手[て]	hand	arm, move (in go, shogi, etc.)
181	毛	け		毛[け]	hair	
182	干す	ほす		干[ほ]す	to air	to dry, to desiccate
183	平日	ヘイジツ		平[ヘイ]日[ジツ]	weekday	ordinary days (i.e. non-holiday)
184	平ら	たいら		平[たい]ら	flatness	level, smooth, calm, plain, sitting tailor fashion
185	呼ぶ	よぶ		呼[よ]ぶ	to call out (to)	to call, to invoke
186	呼び出す	よびだす		呼[よ]び出[だ]す	to summon	to call (e.g. phone), to convene, to decoy, to lure
187	午	うま		午[うま]	seventh sign of the Chinese zodiac (The Horse	11am–1pm, south, May)
188	許す	ゆるす		許[ゆる]す	to permit	to allow, to approve, to consent to
189	半分	ハンブン		半[ハン]分[ブン]	half	
190	大半	タイハン		大[タイ]半[ハン]	majority	more than half, most (of), mostly, largely, mainly, predominately, nearly
191	半ば	なかば		半[なか]ば	middle	half, semi, halfway, partly
192	牛肉	ギュウニク		牛[ギュウ]肉[ニク]	beef	
193	牛	うし		牛[うし]	cattle (Bos taurus)	cow, bull, ox, calf
194	村	むら		村[むら]	village	
195	付ける	つける		付[つ]ける	to attach	to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment)
196	日付	ひづけ		日[ひ]付[づけ]	date	dating
197	守る	まもる		守[まも]る	to protect	to guard, to defend
198	団体	ダンタイ		団[ダン]体[タイ]	organization	association
199	寺	てら		寺[てら]	temple (Buddhist)	
200	国分寺	コクブンジ		国[コク]分[ブン]寺[ジ]	state-supported provincial temple (Nara period)	
201	一時	イチジ		一[イチ]時[ジ]	one o'clock	once, at one time, formerly, before, for a time, for a while, for the time being, for the present, for the moment, temporarily, a time, one time, once
202	持つ	もつ		持[も]つ	to hold (in one's hand)	to take, to carry
203	持ち上げる	もちあげる		持[も]ち上[あ]げる	to elevate	to raise, to lift up
204	特に	トクに		特[トク]に	particularly	especially
205	特許	トッキョ		特[トッ]許[キョ]	patent	special permission, license, concession, franchise, charter, proprietary
206	詩人	シジン		詩[シ]人[ジン]	poet	
207	詩	シ		詩[シ]	poem	verse of poetry
208	待つ	まつ		待[ま]つ	to wait	
209	見物	ケンブツ		見[ケン]物[ブツ]	sightseeing	watching, viewing, sightseer, watcher, spectator
210	元	もと		元[もと]	origin	source, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip
211	完全	カンゼン		完[カン]全[ゼン]	perfect	complete
212	完了	カンリョウ		完[カン]了[リョウ]	completion	conclusion, perfect (tense, form, aspect)
213	入院	ニュウイン		入[ニュウ]院[イン]	hospitalization	
214	退院	タイイン		退[タイ]院[イン]	leaving hospital	discharge from hospital
215	寺院	ジイン		寺[ジ]院[イン]	temple	
216	大学院	ダイガクイン		大[ダイ]学[ガク]院[イン]	graduate school	
217	文学	ブンガク		文[ブン]学[ガク]	literature	
218	文字	モジ		文[モ]字[ジ]	letter (of alphabet)	character
219	文	ふみ		文[ふみ]	letter	writings
220	対	ツイ		対[ツイ]	pair	couple, set, counter for items that come in pairs
221	右	みぎ		右[みぎ]	right	right hand side
222	右手	みぎて		右[みぎ]手[て]	right hand	right-hand side, right-hand direction, (on) the right
223	若い	わかい		若[わか]い	young	youthful
224	若し	もし		若[も]し	if	in case, supposing
225	若干	ジャッカン		若[ジャッ]干[カン]	some	few, a number of, a little (bit), somewhat, to a certain extent, many, a lot
226	石	いし		石[いし]	stone	
227	岩	いわ		岩[いわ]	rock	boulder
228	人工	ジンコウ		人[ジン]工[コウ]	artificial	human-made, human work, human skill, artificiality
229	左	ひだり		左[ひだり]	left	left hand side
230	左右	サユウ		左[サ]右[ユウ]	left and right	
231	又	また		又[また]	again	and, also, still (doing something)
232	又は	または		又[また]は	or	otherwise
233	友	とも		友[とも]	friend	companion, comrade, pal
234	友人	ユウジン		友[ユウ]人[ジン]	friend	
235	有る	ある		有[あ]る	to be	to exist, to live
236	有効	ユウコウ		有[ユウ]効[コウ]	valid	effective, yuko (judo)
237	お母さん	おかあさん		お母[かあ]さん	mother	mom, mum, ma
238	父母	フボ		父[フ]母[ボ]	father and mother	parents
239	毎月	マイつき		毎[マイ]月[つき]	every month	each month, monthly
240	毎日	マイニチ		毎[マイ]日[ニチ]	every day	
241	海	うみ		海[うみ]	sea	ocean, waters
242	梅	うめ		梅[うめ]	Japanese apricot (Prunus mume)	Japanese plum, ume, Chinese plum
243	梅干し	うめぼし		梅[うめ]干[ぼ]し	umeboshi	pickled dried ume, pickled dried plum
244	悔しい	くやしい		悔[くや]しい	vexing	annoying, frustrating, regrettable, mortifying
245	悔い	くい		悔[く]い	regret	repentance
246	元気	ゲンキ		元[ゲン]気[キ]	lively	full of spirit, energetic, vigorous, vital, spirited
247	天気	テンキ		天[テン]気[キ]	weather	the elements
248	気	キ		気[キ]	spirit	mind, heart
249	気分	キブン		気[キ]分[ブン]	feeling	mood
250	気持ち	キもち		気[キ]持[も]ち	feeling	sensation, mood, just a little, somewhat, slightly
251	気体	キタイ		気[キ]体[タイ]	gas	vapor
252	今月	コンゲツ		今[コン]月[ゲツ]	this month	
253	今	いま		今[いま]	now	the present time, just now, soon, immediately, (one) more
254	今回	コンカイ		今[コン]回[カイ]	now	this time, lately
255	公平	コウヘイ		公[コウ]平[ヘイ]	fairness	impartiality, justice, objectivity
256	公	おおやけ		公[おおやけ]	official	governmental, formal
257	夕方	ゆうがた		夕[ゆう]方[がた]	evening	dusk
